lexeme_id	Lexical entry	Orthography	Glossing label	Gender	Attributive
n1	ábɨr	абыр	behavior	3	abɨrdid
n2	awán	аван	rope	4	awnád
n3	awár	авар	avar	1	awárad
n4	aʁsaqál	агъсахъал	aksakal	1	aʁsaqálad
n5	aʁɨ́l	агъыл	corral	4	aʁɨ́lad
n6	adát	адат	custom	4	adatad
n7	azúkʼʷaj	азукӀвай	curdled_milk	3	azúkʼʷajed
n8	ajʁɨ́r	айгъыр	stallion	3	ajʁɨ́rad
n9	alwér	алвер	trade	4	alwerad
n10	alláh	аллагь	Allah	NO DATA	alláhad
n11	aχbazán	ахбазан	apricot	3	aχbazánad
n12	áˤräbi	аӀраьби	carriage	4	aˤräbijed
n13	aˤjná	аӀйна	glass	3	aˤjníjed
n14	ará ~ aˤrá	ара ~ аӀра	distance	4	aˤrijid
n15	áˤrab	аӀраб	sickle	3	áˤrabad
n16	aˤq	аӀхъ	shadow	3	aˤqáˤd
n17	babá	баба	elder_relative	1	babád
n18	bábaj	бабай	grandmother	2	bábajdɨ
n19	baʁ	багъ	garden	4	baʁdid
n20	bahna	багьна	reason	NO DATA	baχnijid
n21	badú	баду	trousers	3	badújed
n22	baqʼáqʼaj	бакьакьай	tick	3	baqʼáqʼajed
n23	baltá	балта	axe	4	baltɐ́jid
n24	balúʁ	балугъ	fish	3	balʁúd
n25	ban	бан	pasture	3	banád
n26	bar	бар	burden2	3	bardid
n27	barmák	бармак	headdress	3	barmakad
n28	begʲ	бегʼ	side1	3	begíd
n29	bejní	бейни	brain	4	bejníjed
n30	bekʼʲ	бекӀʼ	tar	4	bekʼéldɨ
n31	bel	бел	forehead	4	beldɨ
n32	ber	бер	spade	4	berád
n33	bibíčil	бибичил	swallow	3	bibíčiled
n34	bicʼérxen	бицӀерхьен	spleen	3	bicʼerxenad
n35	buʁáz	бугъаз	throat	3	buʁázad
n36	bukʼʷ	букӀв	animal_lip	3	bukʼójid
n37	buχɐ́jri	буха̂йри	fireplace	3	buχɐ́jrijed
n38	bɐbɐdíd	ба̂ба̂дид	grandfather	1	bɐbɐdíddɨ
n39	bɨz	быз	bumblebee	4	bɨzɨ́rdɨ
n40	bɨláχ	былах	wellspring	3	bɨláχad
n41	bɨlɨtʼ	былытӀ	penis	NO DATA	NO DATA
n42	bɨrǯ	бырдж	financial_debt	4	NO DATA
n43	bɨčʼ	бычӀ	flower	4	bɨčʼíd
n44	waz	ваз	moon	3	wazɨ́rdɨ ~ wazɨldɨ
n45	wakír ~ wakíl	вакир ~ вакил	wedding_witness	NO DATA	wakiled
n46	walɨ́g	валыг	clothes	4	walgɨ́d
n47	warlɨ	варлы	rich_man	NO DATA	warlɨjed
n48	waχt	вахт	time1	3	waχtindid ~ waχtid
n49	waˤʔší	ваӀъши	wild_animal	3	waˤʔšíjid
n50	wirɨ́ʁ	вирыгъ	sun	3	wirʁɨ́d
n51	wixʲ	вихьʼ	cattle_shed	4	wixíd
n52	wɨgɨ́n	выгын	dog_fang	3	wɨgnád
n53	wɨɣɨ́l	выгӀыл	husband	1	wɨɣlíd
n54	wɨɣɨ́ldɨ	выгӀылды	man	NO DATA	wɨɣɨ́lnɨwdɨ
n55	wɨ́zɨr	вызыр	sheep_shed	4	wɨ́zɨrad
n56	wɨs	выс	sunny_slope	3	wɨ́sad
n57	gag	гаг	father_in_law	1	gágdɨ
n58	gágaj	гагай	uncle	1	gagajdɨ
n59	gadá	гада	youngster	1	gɨdíjed
n60	gaj	гай	aunt	2	gajdɨ
n61	gardán	гардан	neck	3	gardánad ~ gardándɨ
n62	gaˤš	гаӀш	starvation	3	gáˤšdɨ
n63	gʷaláχ	гвалах	work.n	3	gʷaláχad
n64	gʷarg	гварг	spine	3	gʷárgɨd
n65	géǯej	геджей	beehive	3	géǯejed
n66	gel	гел	lamb	3	gíldɨ
n67	get	гет	cat	3	gitɨ́rdɨ
n68	gígu	гигу	cuckoo	3	gígujed
n69	gim	гим	meeting_area	3	gimɨ́d
n70	girdáb	гирдаб	saw.n	3	girdábad
n71	gičʼ	гичӀ	fear.n	3	gíčʼed
n72	gurǯí	гурджи	georgian	1	gurǯíjed
n73	güzgé	гуьзге	mirror	4	güzgíjid
n74	gülégʲ	гуьлегʼ	lock.n	4	gülgǘd
n75	ʁʷab	гъваб	root	3	ʁʷabád ~ ʁʷabɨ́ldɨ
n76	ʁil	гъил	leg	4	ʁíldɨ ~ ʁílid
n77	ʁílijdɨ	гъилийды	shoe	4	ʁílijdid
n78	ʁubáʁ	гъубагъ	bee	3	ʁubʁúd
n79	ʁul	гъул	window	3	ʁulíd
n80	ʁuˤd	гъуӀд	partridge	3	ʁúˤdirdɨ
n81	ʁuˤn	гъуӀн	shoulder	4	ʁuˤnád
n82	ʁuˤrdígen	гъуӀрдиген	pillow	3	ʁuˤrdígenad
n83	ʁɨlɨ́ʁ	гъылыгъ	egg	3	ʁɨlʁɨ́d
n84	ʁɨˤ	гъыӀ	bridge	3	ʁɨˤd
n85	ʁɨˤb	гъыӀб	frog	3	ʁɨˤbɨ́rdɨ
n86	ʁɨˤbrí	гъыӀбри	eyelash	4	ʁɨˤbríjed
n87	ʁɨˤld	гъыӀлд	summer	4	ʁɨ́ˤldid
n88	ʁɨˤr	гъыӀр	hare	3	ʁɨˤrád
n89	ʁɨˤrč	гъыӀрч	wildfowl	3	ʁɨˤrčéd
n90	ʁɨˤrčéqan	гъыӀрчехъан	hunter	1	ʁɨˤrčéqandɨ ~ ʁɨˤrčéqanid
n91	gɨbɨ́l	гыбыл	cloud	3	gɨblíd
n92	gɨwáʔan	гыва́ъан	sock	4	gɨwấʔânid
n93	gɨwɐ́li	гыва̂ли	plum	3	gɨwɐ́lijed
n94	gɨlɨ́mat	гылымат	fur_coat	4	gɨlɨ́matdid
n95	gɨmɨ́š	гымыш	silver	4	gɨmɨ́šed
n96	gɐnín	га̂нин	mother_in_law	2	gɐníndɨ
n97	gɨrcʼ	гырцӀ	chudu	4	gɨ́rčʼɨd
n98	gɨtʼ	гытӀ	corn_ear	4	gɨtʼɐ́jid
n99	gɨtʼí	гытӀи	stack	3	gɨtʼíjed
n100	gɨˤχ	гыӀх	hook	4	gɨˤχájid
n101	hawá	гьава	air	3	hawɨ́jid
n102	hajwán	гьайван	animal	3	hajwánad
n103	haqʼ	гьакь	hollow	4	háqʼad
n104	háqʼal	гьакьал	mind	3	háqʼaled ~ háqʼaldɨ
n105	hamqʼúdɨ	гьамкьуды	noon	4	hamqʼúdɨd
n106	háraj	гьарай	shout	3	hárajed
n107	haramzada	гьарамзада	fraudster	1	haramzadɐjed
n108	haˤjáː	гьаӀйаа	conscience	3	NO DATA
n109	haˤqʼ	гьаӀкь	law	4	haˤqʼdɨ
n110	haˤráqʼi	гьаӀракьи	vodka	4	haˤráqʼijed
n111	haˤfdá	гьаӀфда	week	4	haˤfdɨ́
n112	hejwán	гьейван	horse	3	hejwánad
n113	héjeg	гьейег	cauldron	3	héjegad
n114	heš	гьеш	caraway	3	héšid
n115	huʁál	гьугъал	rain	4	huʁlád
n116	huqʼúl	гьукьул	head	3	huqʼlíd
n117	huˤrmet ~ huˤrmat	гьуӀрмет ~ гьуӀрмат	respect	3	huˤrmetdid ~ huˤrmɐtdid
n118	hɨkɨ́jid ~ hakɨ́jed	гьыкыйид	fairy_tale	4	hákɨjedad
n119	hɨnɨ́š	гьыныш	God	1	hɨnčíd
n120	ɣal	гӀал	mouth	4	ɣɐ́lid ~ ɣaldɨ
n121	ɣam	гӀам	awn	3	ɣamɨ́ldɨ
n122	ɣar	гӀар	snake	3	ɣárad
n123	ɣárɣal	гӀаргӀал	oat	3	ɣárɣaled
n124	ɣɨrɨ́ɣ	гӀырыгӀ	stomach	3	ɣɨrɣɨ́d
n125	dawár	давар	cattle	NPL	dawárad
n126	dawát	дават	wedding	3	dawátad
n127	daʁmá ~ damʁá	дагъма ~ дамгъа	scar1	4	damʁɨjid
n128	daʁɨstan	дагъыстан	Daghestan	3	daʁɨstandid ~ daʁɨstanad
n129	dahár	дагьар	stone	3	dahrád
n130	dádal	дадал	rooster	3	dádaled
n131	daj	дай	foal	3	dajéd
n132	dal	дал	branch	3	dálɨrdɨ
n133	dam	дам	forest	4	dámɨd
n134	damár	дамар	vein	3	damrad
n135	dan	дан	cheek	3	danɨd
n136	daná	дана	bull	3	danɨ́jid
n137	dáraku	дараку	roof_roller	4	dárakujed
n138	daráqʼdɨ	даракьды	egg_yolk	4	NO DATA
n139	darwáza	дарваза	gate	4	darwázajed
n140	darc	дарц	lesson	4	darcád
n141	daʔ	даъ	foremilk	3	dáʔad
n142	daˤq	даӀхъ	back_of_head	4	daˤqáldɨ
n143	daˤʔwí	даӀъви	war	3	daˤʔwíjed
n144	dewé	деве	camel	3	dewéjed
n145	degá	дега	wickiup	4	degɨ́jɨd
n146	derjáh	дерйагь	sea	3	derjáhad
n147	ӡ̌ad	джад	forge	4	ӡ̌ádad
n148	ǯaláχ	джалах	joint	4	ǯalaχad
n149	ǯam	джам	bowl	3	ǯamad
n150	ǯamaːt ~ ǯamaˤʔt	джамаат ~ джамаӀъат	folk	3	ǯamaˤʔtɨd
n151	ǯan	джан	body	4	ǯendíd
n152	ǯandák	джандак	animal_carcass	4	ǯandakad
n153	ǯar	джар	sour_cream	3	ǯarád
n154	ӡ̌ʷel	джвел	sheaf	3	ӡ̌ʷeled
n155	ǯehʲrá	джегьра	spinning_wheel	3	ǯehʲrijid
n156	ǯib	джиб	pocket	3	ǯíbad
n157	ǯíwɨr	дживыр	roe	3	ǯíwɨrad
n158	ǯigá	джига	place2	3	ǯigɨ́jid
n159	ǯihíl	джигьил	young	1	ǯihíled
n160	ӡ̌il	джил	floor	3	ӡ̌ilíd
n161	ǯins	джинс	jeans	NO DATA	ǯinsɨd
n162	ǯunúkʼ	джунукӀ	hawk	3	ǯunkʼud ~ ǯunukʼad
n163	ǯɨbɨ́r	джыбыр	tail	3	ǯibrɨ́d
n164	ʒɨ́ʒɨχ	дзыдзых	ant	3	ʒɨ́ʒɨχad
n165	ӡɨr	дзыр	copper	4	ӡɨrad
n166	dibír	дибир	mullah	1	dibírad
n167	did	дид	father	1	díddɨ
n168	dikʼáj	дикӀай	clay_pot	4	dikʼajed
n169	dunʁúz	дунгъуз	pig	3	dunʁuzad
n170	dunk	дунк	tree_stump	4	dúnkad
n171	dur	дур	spoon	4	durúd
n172	dur	дур	name	3	durúd
n173	dustáʁ	дусдагъ	prison	3	dustaʁdid
n174	dust	дуст	friend1	1	dustad
n175	duχ	дух	son	1	duχardɨ
n176	dušmán	душман	enemy	1	dušmanad
n177	düzém	дуьзем	valley	4	düzemad
n178	dükár	дуькар	infant	1	dükrád
n179	dükʼʲ	дуькӀʼ	millet	3	dükʼǘd
n180	dültí	дуьлти	lake	3	dültijed
n181	dünja	дуьнья	world	3	dünjadɨ
n182	duʔáˤ	дуӀъаӀ	prayer	4	duʔuˤjid
n183	dɨd	дыд	fly	3	dɨdɨ́rdɨ ~ dɨdad
n184	dɨlán	дылан	plough	4	dɨlɨ́ndid
n185	dɨn	дын	sheep_wool	4	dɨnid
n186	dɨrmɨχ	дырмых	rake	NO DATA	čʼɨχáˤrad
n187	ébɨr	ебыр	blood	3	ébɨrdid
n188	egˠ	ег	horseshoe	3	egáldɨ
n189	edémi	едеми	person1	1	edémijed
n190	ékul	екул	nest	4	ékuled
n191	ermeni ~ armʲan	ермени ~ армян	armenian	1	ermenijid ~ armenindɨ
n192	eχɨ́ːr	ехыыр	end	NO DATA	NO DATA
n193	eč	еч	apple	3	íčirdɨ
n194	zaz	заз	thorn	3	zazɨldɨ
n195	zamána	замана	time2	3	zamanajid
n196	zaráfat	зарафат	joke	3	zarafatdid
n197	zelé	зеле	leech	3	zeléjed
n198	zer	зер	cow	3	zírdɨ
n199	zímag	зимаг	bracelet	3	zímagad
n200	zindán	зиндан	anvil	3	zindanad
n201	zinǯír	зинджир	chain	3	zinǯirad
n202	zúba	зуба	thigh	3	zúbojed
n203	zuqʼʷáˤl	зукьваӀл	dogwood	4	zuqʼʷáˤled
n204	zur	зур	urine	4	zurud
n205	züzéngʲ ~ jüzéngʲ	зуьзенгʼ ~ йуьзенгʼ	stirrup	4	jüzenged
n206	iǯ	идж	earmark	4	iǯejid
n207	iǯilás	иджилас	gathering	3	iǯilásad
n208	ijési	ийеси	master	1	ijésijed
n209	ijsán ~ insán	ийсан ~ инсан	person	1	insánad
n210	iqʼ	икь	urbech	3	íqʼad
n211	il	ил	smell	4	ildíd
n212	ílesdɨ	илесды	food	4	ílesdid
n213	ilčí	илчи	swat	1	ilčíjed
n214	irejχáˤn	ирейхаӀн	basil	4	irejχáˤnad
n215	irín	ирин	pus	4	irínad
n216	isítma	иситма	fever	3	NO DATA
n217	iskʼám	искӀам	table	3	iskʼámad
n218	it	ит	honey	4	ítɨd
n219	iχtílet	ихтилет	story	4	eχdiletad
n220	ičí	ичи	abdomen	4	ičíjed
n221	išɨ́ʁ	ишигъ	light	4	išʁɨ́d
n222	jazná	йазна	son_in_law	1	jaznájed
n223	jak	йак	meat	4	jígɨd
n224	jakʷ	йакв	morning	4	jakʷád
n225	jalɨ́ʁ	йалыгъ	headscarf	3	jalɨ́ʁad
n226	jamág	йамаг	meal	4	jamágad
n227	jardúst	йардуст	friend2	1	jardustad
n228	jaχʷ	йахв	loom	4	NO DATA
n229	jac	йац	ox	3	jacad
n230	jac	йац	capra_caucasica	3	jacad
n231	jezúb	йезуб	grain1	3	jezúbad
n232	jer	йер	place	3	jerad
n233	jerí	йери	half	4	jerijid
n234	jetím	йетим	orphan	1	jetímad
n235	jiz	йиз	snow	4	jizɨ́rdɨ ~ jizɨ́ldɨ
n236	jiqʼ	йикь	middle	4	jiqʼad
n237	jikʼʲ	йикӀʼ	heart	4	jikʼíd
n238	jíleg	йилег	iron	4	jílegad
n239	jímel	йимел	donkey	3	jímeled
n240	jis	йис	moth	3	jisɨ́rdɨ
n241	jíxaˤlʲ	йихьаӀлʼ	mole	NO DATA	NO DATA
n242	juldáš	йулдаш	friend3	1	juldašed
n243	jurʁán	йургъан	blanket	3	jurʁánad
n244	juš	йуш	night	4	jušéd
n245	jǘtʼel	йуьтӀел	knot.n	4	jǘtʼeled
n246	juˤχ	йуӀх	birch	3	júˤχud
n247	jɨʁ	йыгъ	daytime	4	jɨʁád
n248	jɨˤχ	йыӀх	marrow	4	jɨˤχɨˤd
n249	jɨ́ˤχɨn	йыӀхын	wound	4	jɨˤχɨˤned rang
n250	kantʼ	кантӀ	knife	4	kántʼid
n251	kapɨ́r	капыр	dagger	4	kapɨrad
n252	kar	кар	thing	4	kardid
n253	kafán	кафан	shroud	3	NO DATA
n254	kač	кач	horn	4	qʼačʼáldɨ
n255	kʷam	квам	hole	3	kʷámɨrdɨ
n256	kellé	келле	skull	3	kellíjid
n257	kerkí	керки	hoe	4	kerkíjed
n258	kef	кеф	pleasure	NO DATA	kefdɨ
n259	kilít	килит	door_bolt	3	NO DATA
n260	kitáb	китаб	book	4	kitábad
n261	klass	класс	class	NO DATA	klassad
n262	kow	ков	heel	3	kowɨ́d
n263	kowχá	ковха	foreman	1	kowχɨ́jed
n264	kub	куб	namaz	3	kúbad
n265	kubúk	кубук	foam	4	kubkúd
n266	kul	кул	bush	3	kúlɨrdɨ ~ kúlurdɨ
n267	kulák	кулак	wind	3	kulkúd
n268	kumág	кумаг	help.n	NO DATA	kumɐ́gdid
n269	kundé	кунде	small_dough_circle	3	kundíjid
n270	kura	кура	bread_oven	3	kurɐ́jid
n271	kursí	курси	stool	3	kursíjid
n272	kurúg	куруг	bellows	3	kurugad
n273	kurús	курус	appearance	3	kursúd
n274	kuč	куч	she_dog	3	kučíd
n275	kuš	куш	corner	3	kušíd
n276	külégʲ	куьлегʼ	elbow	4	külgǘd
n277	kümʁár	куьмгъар	chimney	3	kümʁárad
n278	ɢab	къабыр	dishes	4	ɢabad
n279	ɢaʁ	къагъ	scabbard	4	ɢaʁɨldɨ
n280	ɢaz	къаз	goose	3	ɢázɨrdɨ
n281	ɢalá	къала	tower	4	ɢalɨjid
n282	ɢaláj	къалай	tin	4	ɢalɐjid
n283	ɢamčí	къамчи	whip	3	ɢamčíjed
n284	ɢarg	къарг	ram	3	ɢárgɨd
n285	ɢarí	къари	wife	2	ɢaríjed
n286	ɢatír	къатир	mule	3	ɢatírad
n287	ɢač	къач	eyebrow	3	ɢačilɨd ~ ɢačildɨ
n288	ɢačáχ	къачах	outlaw	1	ɢačáχad
n289	ɢaˤbáj	къаӀбай	chaff	4	ɢaˤbɐ́jed
n290	ɢaˤcʼ	къаӀцӀ	tongs	3	ɢaˤcʼaldɨ
n291	ɢer	къер	dandruff	4	ɢerád
n292	ɢizíl	къизил	gold	4	ɢizíled
n293	ɢiráʁ	къирагъ	edge	4	ɢirʁɨ́d
n294	ɢow	къов	ceiling	4	ɢowɨ́d
n295	ɢuj	къуй	pit	3	ɢujéd
n296	ɢum	къум	sand	4	ɢumɨ́jid
n297	ɢunší	къунши	neighbor	1	ɢunšíjed
n298	ɢurʁúšin	къургъушин	lead	4	ɢurʁúšined
n299	ɢucʼ	къуцӀ	wood_chip	4	ɢucʼúd
n300	kɨb	кыб	dung_fuel	3	kɨbɨ́rdɨ
n301	kɨlí	кыли	toe	3	kɨlíjed
n302	kɨlɨ́ng	кылынг	pick_axe	3	kɨlɨ́ngad
n303	kɐšír	ка̂шир	porrigde	3	kašírad
n304	qʼabɨχ	кьабых	shell	4	qʼabχɨ́d
n305	qʼámčʼel	кьамчӀел	braid	3	qʼámčʼeled
n306	qʼan	кьан	bottom	4	qʼanéd
n307	qʼacʼ	кьацӀ	chin	4	qʼacʼɨ́d
n308	qʼačʼ	кьачӀ	green_beans	4	qʼačʼáldɨ
n309	qʼaˤb	кьаӀб	cradle	3	qʼáˤbad
n310	qʼʷab	кьваб	slab_for_roof	3	qʼʷabɨ́rdɨ
n311	qʼʷaqʼ	кьвакь	knee	3	qʼʷaqʼɨ́d
n312	qʼʷanáqʼ	кьванакь	hand_palm	4	qʼʷanáqʼad
n313	qʼʷarč	кьварч	hoof	3	qʼʷarčéd
n314	qʼʷeʔ	кьвеъ	top.n	NO DATA	NO DATA
n315	qʼe	кье	malt	3	qʼejid
n316	qʼel	кьел	salt	3	qʼíldɨ
n317	qʼilinӡ̌	кьилиндж	saber	4	qʼilínӡ̌ed
n318	qʼimét	кьимет	price	3	NO DATA
n319	qʼin	кьин	oath	4	qʼinad
n320	qʼir	кьир	wheat	3	qʼírad
n321	qʼismát	кьисмат	fortune	4	qʼismɨ́tid
n322	qʼul	кьул	board	4	qʼulád
n323	qʼuˤl	кьуӀл	mouse	3	qʼuˤlíd
n324	qʼɨdɨ́qʼ	кьыдыкь	skin	4	qʼɨdqʼɨ́d
n325	qʼɨk	кьык	bird_comb	4	qʼɨ́kad
n326	qʼɨ́ltan	кьылтан	head_temple	4	qʼɨ́ltɐned
n327	qʼɨlɨqʼ	кьылыкь	testicles	NO DATA	NO DATA
n328	qʼɨn	кьын	he_goat	3	qʼɨnád
n329	qʼɨrɨ́b	кьырыб	bone	4	qʼɨrbɨ́d
n330	qʼɨrɨ́qʼ	кьырыкь	avalanche	3	qʼɨrqʼɨ́d
n331	qʼɨq	кьыхъ	calf	3	NO DATA
n332	qʼɨš	кьыш	cooked_grease	3	qʼɨšɨ́d
n333	qʼɨˤd	кьыӀд	winter	4	qʼɨ́ˤjid
n334	qʼɨˤrɨ́s	кьыӀрыc	pole_for_ceiling	4	qʼɨˤrsɨ́d
n335	qʼɨ́ˤčʼid ~ qʼɨ́ˤdɨ́čʼ	кьыӀчид ~ кьыӀдыч	scissors	4	qʼɨ́ˤčʼídad ~ qʼɨdɨ́čʼed
n336	kʲapáˤʁ	кяпаӀгъ	paw	4	NO DATA
n337	kʼaz	кӀаз	pitcher	3	NO DATA
n338	kʼɐzít	кӀа̂зит	paper	4	NO DATA
n339	kʼakʼál	кӀакӀал	pebble	3	kʼakʼlád
n340	kʼar	кӀар	spool	4	kʼarád
